id,name,age,salary,hire_date,department,bonus,address,phone,email
1,Name_103,77.0,60000.0,2020-01-22,Marketing,9055.0,"Street 66, City 35",5199637697,email_241@example.com
2,Name_436,62.0,50000.0,2019-04-28,Marketing,,"Street 16, City 4",9219863302,email_644@example.com
3,Name_861,61.0,60000.0,2019-02-24,HR,7197.0,"Street 12, City 13",9067231127,email_251@example.com
4,Name_271,36.0,70000.0,2024-04-29,Unknown,5642.0,"Street 37, City 38",5895008678,email_90@example.com
5,Name_107,78.0,60000.0,2022-11-13,IT,4211.0,"Street 29, City 19",3978656403,email_200@example.com
6,Name_72,35.0,60000.0,2016-05-16,IT,5557.0,"Street 40, City 8",9495123031,email_645@example.com
7,Name_701,73.0,60000.0,2020-05-20,Finance,3316.0,,,
8,Name_21,18.0,60000.0,2017-08-26,IT,6474.0,"Street 77, City 31",1524761933,email_411@example.com
9,Name_615,42.0,50000.0,2018-07-23,IT,4107.0,,,
10,Name_122,44.0,50000.0,2018-09-23,HR,3787.0,"Street 66, City 9",4483608947,email_600@example.com
11,Name_467,24.0,70000.0,,Finance,3579.0,"Street 29, City 44",7288251659,email_511@example.com
12,Name_215,61.0,60000.0,2018-03-27,IT,7857.0,"Street 11, City 1",7886856798,email_276@example.com
13,Name_331,59.0,70000.0,2023-05-29,IT,1462.0,,,
14,Name_459,46.0,60000.0,2015-07-29,Unknown,1081.0,"Street 50, City 16",9751000426,email_28@example.com
15,Name_88,48.0,60000.0,2017-11-28,IT,7108.0,"Street 97, City 7",6901572009,email_276@example.com
16,Name_373,61.0,60000.0,2022-08-04,HR,6597.0,,,
17,Name_100,60.0,60000.0,2015-04-28,IT,,"Street 8, City 49",2276943146,email_979@example.com
18,Name_872,53.0,60000.0,2021-07-10,IT,5192.0,,,
19,Name_664,36.0,50000.0,,Marketing,7545.0,,,
20,Name_131,23.0,70000.0,2019-05-29,IT,9871.0,"Street 70, City 3",3302725946,email_312@example.com
21,Name_662,42.0,60000.0,2017-09-26,Finance,8759.0,"Street 24, City 50",9446944835,email_410@example.com
22,Name_309,48.0,70000.0,2017-05-07,Marketing,,"Street 21, City 10",2696329403,email_612@example.com
23,Name_770,26.0,60000.0,2017-06-25,Finance,6567.0,"Street 42, City 48",6200678092,email_984@example.com
24,Name_344,37.0,70000.0,2020-03-17,Finance,1442.0,"Street 63, City 17",3521170010,email_598@example.com
25,Name_492,27.0,60000.0,2015-06-08,HR,5860.0,"Street 90, City 39",4968222517,email_29@example.com
26,Name_414,54.0,60000.0,2018-05-18,IT,,"Street 13, City 49",4285965783,email_748@example.com
27,Name_806,44.0,60000.0,2021-01-20,Finance,3204.0,"Street 93, City 40",2401265090,email_980@example.com
28,Name_386,30.0,70000.0,2020-01-27,IT,8003.0,"Street 21, City 6",6597321183,email_2@example.com
29,Name_192,58.0,70000.0,2021-07-22,IT,1374.0,"Street 6, City 40",7526111514,email_983@example.com
30,Name_956,19.0,60000.0,2021-04-01,HR,1079.0,"Street 68, City 10",7402347782,email_469@example.com
31,Name_277,67.0,70000.0,2016-09-14,HR,9547.0,"Street 84, City 28",6646256882,email_863@example.com
32,Name_161,38.0,50000.0,2020-08-04,Finance,5659.0,"Street 10, City 23",9518643672,email_227@example.com
33,Name_460,50.0,70000.0,2020-06-10,Finance,5507.0,"Street 89, City 19",7234091738,email_141@example.com
34,Name_314,41.0,60000.0,2019-10-13,Marketing,3534.0,"Street 89, City 37",7481184092,email_822@example.com
35,Name_22,70.0,50000.0,2020-07-11,IT,4353.0,"Street 92, City 21",7701886231,email_618@example.com
36,Name_253,61.0,50000.0,2015-06-27,IT,9661.0,"Street 30, City 13",6413255848,email_426@example.com
37,Name_748,59.0,70000.0,2018-12-30,HR,8051.0,,,
38,Name_857,51.0,60000.0,2020-11-30,HR,4891.0,"Street 100, City 9",2564315403,email_909@example.com
39,Name_561,77.0,60000.0,2025-03-15,Finance,9863.0,,,
40,Name_475,26.0,60000.0,2015-06-03,Marketing,5852.0,"Street 35, City 25",8981587957,email_901@example.com
41,Name_59,19.0,50000.0,,Marketing,,"Street 3, City 48",3352704029,email_331@example.com
42,Name_511,72.0,60000.0,2020-03-03,HR,1935.0,"Street 48, City 16",9519401222,email_13@example.com
43,Name_682,73.0,50000.0,2021-08-31,HR,2310.0,,,
44,Name_476,47.0,60000.0,2016-04-27,Marketing,8215.0,"Street 38, City 47",4645795801,email_497@example.com
45,Name_700,48.0,60000.0,2021-05-12,Marketing,,"Street 30, City 15",4186481452,email_630@example.com
46,Name_976,63.0,70000.0,2023-05-26,Finance,2748.0,"Street 51, City 13",2015226812,email_530@example.com
47,Name_783,28.0,60000.0,2015-08-11,Marketing,8141.0,"Street 15, City 41",9508316790,email_243@example.com
48,Name_190,72.0,50000.0,2020-11-08,IT,5340.0,"Street 49, City 41",9110780508,email_476@example.com
49,Name_958,60.0,70000.0,2018-07-30,Marketing,2610.0,"Street 24, City 17",1313453217,email_503@example.com
50,Name_687,34.0,50000.0,2020-01-17,Unknown,,"Street 8, City 20",3553646880,email_277@example.com
51,Name_958,53.0,70000.0,2019-05-16,Marketing,7219.0,"Street 79, City 37",3789510945,email_159@example.com
52,Name_563,30.0,50000.0,2016-05-08,HR,,"Street 72, City 48",1851930826,email_762@example.com
53,Name_876,24.0,60000.0,2024-01-20,HR,3921.0,"Street 12, City 36",6614524901,email_887@example.com
54,Name_567,33.0,60000.0,2016-01-25,Unknown,6158.0,"Street 38, City 6",2074865524,email_3@example.com
55,Name_244,50.0,60000.0,2022-03-31,IT,3635.0,"Street 73, City 31",5951842952,email_61@example.com
56,Name_832,62.0,60000.0,2019-10-13,Marketing,2591.0,"Street 76, City 28",1591826081,email_637@example.com
57,Name_505,18.0,60000.0,2023-03-28,Marketing,5821.0,"Street 85, City 8",5411422088,email_186@example.com
58,Name_131,28.0,70000.0,2019-11-10,Unknown,8393.0,,,
59,Name_485,23.0,60000.0,,Finance,6952.0,"Street 8, City 34",9586873436,email_668@example.com
60,Name_819,37.0,60000.0,2016-11-01,Finance,2151.0,"Street 17, City 22",7849306598,email_295@example.com
61,Name_647,52.0,50000.0,2015-07-15,IT,6574.0,"Street 12, City 8",6647456505,email_925@example.com
62,Name_21,61.0,60000.0,2019-08-15,Marketing,1352.0,"Street 22, City 16",4446025234,email_363@example.com
63,Name_841,54.0,50000.0,2022-03-26,Marketing,6910.0,,,
64,Name_167,58.0,70000.0,2022-06-29,Marketing,9138.0,,,
65,Name_274,43.0,60000.0,2022-05-06,HR,2879.0,,,
66,Name_388,75.0,50000.0,2018-08-09,Finance,3461.0,"Street 87, City 27",6133177569,email_549@example.com
67,Name_601,29.0,70000.0,2015-07-25,Unknown,7419.0,"Street 52, City 1",5575808777,email_644@example.com
68,Name_316,79.0,60000.0,2021-11-17,HR,1980.0,"Street 95, City 33",6780217401,email_562@example.com
69,Name_14,47.0,60000.0,2023-08-28,HR,7273.0,"Street 23, City 38",1808547589,email_218@example.com
70,Name_242,45.0,70000.0,,Finance,1190.0,"Street 77, City 48",7163465155,email_242@example.com
71,Name_777,44.0,60000.0,2015-08-17,Marketing,,"Street 54, City 21",7579976177,email_727@example.com
72,Name_346,59.0,70000.0,2022-12-25,IT,9694.0,"Street 78, City 35",8708333993,email_50@example.com
73,Name_565,36.0,60000.0,2023-11-03,Unknown,7072.0,"Street 53, City 39",4473575412,email_304@example.com
74,Name_898,22.0,50000.0,2020-01-03,Finance,,"Street 68, City 50",4380467764,email_50@example.com
75,Name_340,75.0,50000.0,2015-08-06,IT,9120.0,,,
76,Name_92,22.0,50000.0,2015-05-23,Finance,3465.0,"Street 85, City 43",9983449796,email_382@example.com
77,Name_367,58.0,50000.0,2017-03-11,Finance,5706.0,"Street 100, City 44",5322357353,email_480@example.com
78,Name_956,44.0,70000.0,2017-06-03,Finance,3711.0,"Street 15, City 31",8752864000,email_715@example.com
79,Name_455,45.0,50000.0,2017-08-15,Finance,4112.0,"Street 85, City 7",1199227094,email_333@example.com
80,Name_428,43.0,50000.0,2018-12-01,Marketing,1070.0,"Street 67, City 33",9261606624,email_474@example.com
81,Name_509,44.0,70000.0,2020-03-02,HR,9167.0,"Street 94, City 32",4322193640,email_487@example.com
