id,name,age,salary,hire_date,profile,department,bonus
1,Name_103,77.0,60000,2020-01-22,"{""address"": ""Street 66, City 35"", ""phone"": ""5199637697"", ""email"": ""email_241@example.com""}",Marketing,9055.0
2,Name_436,62.0,50000,2019-04-28,"{""address"": ""Street 16, City 4"", ""phone"": ""9219863302"", ""email"": ""email_644@example.com""}",Marketing,
3,Name_861,61.0,60000,2019-02-24,"{""address"": ""Street 12, City 13"", ""phone"": ""9067231127"", ""email"": ""email_251@example.com""}",HR,7197.0
4,Name_271,36.0,70000,2024-04-29,"{""address"": ""Street 37, City 38"", ""phone"": ""5895008678"", ""email"": ""email_90@example.com""}",,5642.0
5,Name_107,78.0,60000,2022-11-13,"{""address"": ""Street 29, City 19"", ""phone"": ""3978656403"", ""email"": ""email_200@example.com""}",IT,4211.0
6,Name_72,35.0,,2016-05-16,"{""address"": ""Street 40, City 8"", ""phone"": ""9495123031"", ""email"": ""email_645@example.com""}",IT,5557.0
7,Name_701,73.0,60000,2020-05-20,,Finance,3316.0
8,Name_21,18.0,60000,2017-08-26,"{""address"": ""Street 77, City 31"", ""phone"": ""1524761933"", ""email"": ""email_411@example.com""}",IT,6474.0
9,Name_615,42.0,50000,2018-07-23,,IT,4107.0
10,Name_122,44.0,50000,2018-09-23,"{""address"": ""Street 66, City 9"", ""phone"": ""4483608947"", ""email"": ""email_600@example.com""}",HR,3787.0
11,Name_467,24.0,70000,,"{""address"": ""Street 29, City 44"", ""phone"": ""7288251659"", ""email"": ""email_511@example.com""}",Finance,3579.0
12,Name_215,61.0,,2018-03-27,"{""address"": ""Street 11, City 1"", ""phone"": ""7886856798"", ""email"": ""email_276@example.com""}",IT,7857.0
13,Name_331,59.0,70000,2023-05-29,,IT,1462.0
14,Name_459,46.0,,2015-07-29,"{""address"": ""Street 50, City 16"", ""phone"": ""9751000426"", ""email"": ""email_28@example.com""}",,1081.0
15,Name_88,48.0,,2017-11-28,"{""address"": ""Street 97, City 7"", ""phone"": ""6901572009"", ""email"": ""email_276@example.com""}",IT,7108.0
16,Name_373,61.0,,2022-08-04,,HR,6597.0
17,Name_100,60.0,60000,2015-04-28,"{""address"": ""Street 8, City 49"", ""phone"": ""2276943146"", ""email"": ""email_979@example.com""}",IT,
18,Name_872,53.0,60000,2021-07-10,,IT,5192.0
19,Name_664,36.0,50000,,,Marketing,7545.0
20,Name_131,23.0,70000,2019-05-29,"{""address"": ""Street 70, City 3"", ""phone"": ""3302725946"", ""email"": ""email_312@example.com""}",IT,9871.0
21,Name_662,42.0,60000,2017-09-26,"{""address"": ""Street 24, City 50"", ""phone"": ""9446944835"", ""email"": ""email_410@example.com""}",Finance,8759.0
22,Name_309,48.0,70000,2017-05-07,"{""address"": ""Street 21, City 10"", ""phone"": ""2696329403"", ""email"": ""email_612@example.com""}",Marketing,
23,Name_770,26.0,60000,2017-06-25,"{""address"": ""Street 42, City 48"", ""phone"": ""6200678092"", ""email"": ""email_984@example.com""}",Finance,6567.0
24,Name_344,37.0,70000,2020-03-17,"{""address"": ""Street 63, City 17"", ""phone"": ""3521170010"", ""email"": ""email_598@example.com""}",Finance,1442.0
25,Name_492,27.0,,2015-06-08,"{""address"": ""Street 90, City 39"", ""phone"": ""4968222517"", ""email"": ""email_29@example.com""}",HR,5860.0
26,Name_414,54.0,,2018-05-18,"{""address"": ""Street 13, City 49"", ""phone"": ""4285965783"", ""email"": ""email_748@example.com""}",IT,
27,Name_806,44.0,60000,2021-01-20,"{""address"": ""Street 93, City 40"", ""phone"": ""2401265090"", ""email"": ""email_980@example.com""}",Finance,3204.0
28,Name_386,30.0,70000,2020-01-27,"{""address"": ""Street 21, City 6"", ""phone"": ""6597321183"", ""email"": ""email_2@example.com""}",IT,8003.0
29,Name_192,58.0,70000,2021-07-22,"{""address"": ""Street 6, City 40"", ""phone"": ""7526111514"", ""email"": ""email_983@example.com""}",IT,1374.0
30,Name_956,19.0,,2021-04-01,"{""address"": ""Street 68, City 10"", ""phone"": ""7402347782"", ""email"": ""email_469@example.com""}",HR,1079.0
31,Name_277,67.0,70000,2016-09-14,"{""address"": ""Street 84, City 28"", ""phone"": ""6646256882"", ""email"": ""email_863@example.com""}",HR,9547.0
